"","name","GQ_UC1","GQ_UC3","GQ_UC4","GQ_UC5","MC_UC1","MC_UC2","MC_UC3","MC_UC4","HC_UC2","HC_UC4","HJC_UC1","HJC_UC2","HJC_UC3","HJC_UC4","JJC_UC2","YZJC_UC3","ZC_UC1","ZC_UC3","ZC_UC4","ZC_UC5"
"38","Erysipelatoclostridium_ramosum",0,0,0,1,1,0,0,0,0,0,0.666666667,0,0,0,0,0,2,0,0,0.5
"39","Lactococcus_piscium",0,0,0,0,1.333333333,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0.5,0.333333333,0.5
"40","Shewanella_algae",1,20,128,1,33,40.33333333,41,43,22.33333333,148.3333333,68.33333333,42.33333333,38.5,59,94.66666667,25.66666667,6,44,132,0.5
"41","Acinetobacter_lwoffii",4,12,34,0,2.666666667,46,12.5,22,54.33333333,132,15.66666667,33.66666667,12.5,62,45.33333333,19.66666667,13,7.5,55.33333333,1
"42","Pseudomonas_geniculata",2,0,13,0,7.666666667,6,3.5,4,5.333333333,13.33333333,10.33333333,4.666666667,13.5,11,8.333333333,2.666666667,6.333333333,8.5,16.33333333,0.5
"43","Lactobacillus_coryniformis",0,8,0,0,0.666666667,16.66666667,3.5,1,12.33333333,10.66666667,0,8.666666667,4.5,7,8.333333333,6.333333333,0.333333333,4,5.666666667,1.5
"44","Bifidobacterium_bifidum",41,10,0,146,35.33333333,1,24.5,1,0.666666667,0.333333333,15,1,10.5,0.333333333,1.666666667,12.33333333,11.66666667,4.5,1.333333333,99
"45","Coprococcus_sp._HPP0074",0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0
"46","Lactobacillus_casei",0,83,39,0,0,5.666666667,30,0,8.333333333,52.33333333,17,2.666666667,102.5,31.33333333,1.666666667,35.33333333,0,25,74.66666667,0.5
"47","Lactobacillus_fermentum",0,103,13,0,0,5.333333333,23,0,2,34.33333333,11,1.333333333,51.5,27,1,30.33333333,0.333333333,13,40.66666667,0.5
"48","Pseudomonas_fulva",2,0,17,2,8.333333333,11.66666667,4,5,6,20.33333333,9.666666667,8.666666667,4,9,12.33333333,4,6.333333333,1.5,14.33333333,2.5
"49","Parasutterella_secunda",5,0,0,153,5.666666667,0,0,0,0,0,3,0,1,0,0,0.333333333,4.333333333,0,0.333333333,97
"50","TM7_phylum_sp._oral_clone_DR034",0,0,20,0,0.333333333,0,0.5,0,8.333333333,37,3.333333333,1,0,18,20,0,0.666666667,0.5,98.33333333,0.5
"51","Ruminococcus_sp._DJF_VR70k1",133,15,2,30,59.33333333,4.333333333,31.5,4,4.666666667,0,42.33333333,3,16.5,1.333333333,10,13,57.33333333,18,12,20
"52","Blastococcus_aggregatus",0,13,58,0,0,60.33333333,20.5,30,74.33333333,81.33333333,7.666666667,31.66666667,22,54.33333333,78.66666667,40.33333333,1,13,48,0
"53","Solobacterium_moorei",5,2,27,2,2,2,1,0,24.66666667,33.66666667,9.333333333,3.666666667,1.5,16,28,1.333333333,3.333333333,1.5,69,5
"54","Rhizobium_giardinii",0,5,65,0,0,41.66666667,18,24,55,49,9.333333333,21,10,54.66666667,39,19.66666667,0,14,58,0
"55","Corynebacterium_glucuronolyticum",0,1,28,0,0,0.333333333,0,0,2.333333333,4.666666667,1,1,0,41.66666667,5,0,0,0,41.33333333,0
"56","Firmicutes_oral_clone_FM046",0,0,20,0,0,0,0,0,25,26.33333333,7,2,0,9.666666667,29,0,0,0,75,0
"57","Lactococcus_garvieae",0,0,3,2,39,0.666666667,0,0,2.333333333,2.333333333,3.333333333,2.333333333,0.5,2.666666667,1.333333333,2.333333333,4.666666667,3.5,3.333333333,5.5
"58","Caulobacter_sp.",4,1,105,4,4,38.66666667,2.5,5,11.33333333,40.66666667,12.66666667,28,6,28.33333333,7.666666667,15,11.66666667,2,28,4
"59","Carnobacterium_maltaromaticum",2,6,12,1,1.333333333,13.33333333,3.5,2,40.33333333,11,3,18.66666667,5.5,12,36,4.666666667,1.333333333,6.5,19.66666667,2.5
"60","Lactobacillus_intestinalis",0,5,17,0,4.666666667,12,28.5,16,1,33.33333333,6.666666667,10,15.5,13.66666667,37.33333333,26,0.666666667,18.5,34.33333333,0
"61","Nitrospira_sp.",0,0,0,1,0.333333333,0,0,0,0,0,33.33333333,0,0,0,0,0,0.666666667,0,0,0.5
"62","Leuconostoc_mesenteroides",0,2,1,3,0.333333333,1,1,0,0.666666667,1.333333333,0,0.333333333,3,1.333333333,0.333333333,2,0.333333333,1.5,1.666666667,2.5
"63","Microbacterium_testaceum",1,10,63,0,0.666666667,20,9,10,35.33333333,45.66666667,5,11,8,34.33333333,34.33333333,20.66666667,0,7.5,35.66666667,0
"64","Roseburia_faecis",37,1,0,22,47,0.666666667,3,0,0.333333333,0,16.66666667,0.333333333,1.5,0,0,1.333333333,40.66666667,3.5,2,24.5
"65","Others",59274,49796,34191,63638,73580,41350.66667,46190,6324,44331.33333,27179,62490,44427.66667,55191,21028.66667,51112,40680.66667,68945,46889.5,41026.33333,67165.5
