"","8_0149.leaf","8_0157.leaf","8_0158.leaf","8_0160.leaf","8_0162.leaf","8_0167.leaf","8_0171.leaf","8_0174.leaf","8_0302.leaf","8_0307.leaf","8_0318.leaf","8_0326.leaf","8_0327.leaf","8_0328.leaf","8_0330.leaf","8_0580.leaf","8_0589.leaf","8_0593.leaf","8_0606.leaf","8_0608.leaf","8_0609.leaf","8_0612.leaf","8_0617.leaf","8_0773.leaf","8_0775.leaf","8_0776.leaf","8_0790.leaf","8_0803.leaf","8_1012.leaf","8_1013.leaf","8_1023.leaf","8_1032.leaf","8_1043.leaf","8_1047.leaf","8_1048.leaf","8_1361.leaf","8_1370.leaf","8_1377.leaf","8_1378.leaf","8_1382.leaf","8_1384.leaf","8_1388.leaf","8_1389.leaf","9_0155.leaf","9_0159.leaf","9_0161.leaf","9_0169.leaf","9_0171.leaf","9_0179.leaf","9_0191.leaf","9_0290.leaf","9_0292.leaf","9_0298.leaf","9_0302.leaf","9_0305.leaf","9_0330.leaf","9_0334.leaf","9_0580.leaf","9_0583.leaf","9_0588.leaf","9_0589.leaf","9_0590.leaf","9_0599.leaf","9_0769.leaf","9_0775.leaf","9_0776.leaf","9_0781.leaf","9_0789.leaf","9_0799.leaf","9_0802.leaf","9_0804.leaf","9_1014.leaf","9_1027.leaf","9_1041.leaf","9_1043.leaf","9_1046.leaf","9_1047.leaf","9_1354.leaf","9_1355.leaf","9_1356.leaf","9_1358.leaf","9_1364.leaf","9_1370.leaf","9_1382.leaf","JAM_3C.leaf","JAM_E1.leaf","JAM_E3.leaf","JAM_E4.leaf","8_0149.root","8_0157.root","8_0158.root","8_0160.root","8_0162.root","8_0167.root","8_0171.root","8_0174.root","8_0302.root","8_0307.root","8_0318.root","8_0326.root","8_0327.root","8_0328.root","8_0330.root","8_0580.root","8_0589.root","8_0593.root","8_0606.root","8_0608.root","8_0609.root","8_0612.root","8_0617.root","8_0773.root","8_0775.root","8_0776.root","8_0790.root","8_0803.root","8_1012.root","8_1013.root","8_1023.root","8_1032.root","8_1043.root","8_1047.root","8_1048.root","8_1361.root","8_1370.root","8_1377.root","8_1378.root","8_1382.root","8_1384.root","8_1388.root","8_1389.root","9_0155.root","9_0159.root","9_0161.root","9_0169.root","9_0171.root","9_0179.root","9_0191.root","9_0290.root","9_0292.root","9_0298.root","9_0302.root","9_0305.root","9_0330.root","9_0334.root","9_0580.root","9_0583.root","9_0588.root","9_0589.root","9_0590.root","9_0599.root","9_0769.root","9_0775.root","9_0776.root","9_0781.root","9_0789.root","9_0799.root","9_0802.root","9_0804.root","9_1014.root","9_1027.root","9_1041.root","9_1043.root","9_1046.root","9_1047.root","9_1354.root","9_1355.root","9_1356.root","9_1358.root","9_1364.root","9_1370.root","9_1382.root","JAM_3C.root","JAM_E1.root","JAM_E3.root","JAM_E4.root"
"OTU_12",115,1761,41,11,1212,7,576,812,1731,6,902,51,4980,82,2237,24,749,1791,1633,11,2980,1636,59,3620,18,3197,2689,2005,232,2434,66,10,21,203,245,971,962,1520,250,611,68,1381,434,38,1400,48,107,1559,1084,3786,1073,2405,3520,536,310,1774,23,705,7,0,2093,38,1206,51,1372,7,120,18,3456,1301,34,2897,816,104,2903,168,662,1554,600,2147,112,1812,1877,1426,1,1,13395,2414,2563,4030,10,36,1001,668,2009,91,1867,1378,92,1322,2259,3942,1055,16,3286,72,22,59,1441,1160,28,4043,3602,3106,941,61,43,1987,1455,121,27,1084,1682,1570,1934,4421,15,320,2021,3258,4000,60,2172,1940,777,900,1441,1080,1565,3204,108,122,3443,733,1340,1974,13,970,4,2761,5506,449,807,43,1323,682,849,14,70,3,1382,202,32,562,3332,33,498,647,28,127,181,2839,7,1613,1943,81
"OTU_13",6,2,371,38,2305,12,463,5055,4652,4,41,739,6,911,29,10,279,39,1505,182,16,28,816,3,17,3336,10,403,166,21,317,39,22,908,81,1286,1684,264,4839,40,9592,17,146,740,5353,726,4,30,13,1779,4054,36,267,1463,2765,8058,64,29,30,3,46,11,4,1,4372,57,825,183,4821,81,9,59,4322,139,28,3074,2206,29,1075,13,149,57,12,39,60,49,1397,44,2360,35,7,1181,532,3990,31,33,94,70,4696,10,13,1481,70,8,35,3307,375,64,4,12,97,48,1051,40,2569,330,709,11,4177,1820,2581,5,3,40,26,59,20,12,29,283,456,69,44,8,942,34,53,556,6172,11,4284,3884,5,45,5,91,98,4391,3,1412,339,1896,22,30,63,50,1248,6,439,24,385,18428,1695,3950,160,1,1119,2841,407,966,38,4586,17,61,29,297
"OTU_14",25,247,6,15,237,8,271,151,236,4,220,6,769,4,295,33,295,123,325,24,357,286,12,491,1,481,222,149,111,83,4,15,0,75,53,149,108,93,264,41,108,116,103,67,333,26,13,42,375,148,454,579,175,273,243,263,7,86,0,0,475,7,130,24,129,4,41,12,397,199,0,34,148,11,80,144,466,892,401,385,9,94,182,221,0,5,79,116,232,176,14,21,70,301,452,10,317,440,133,39,634,189,317,11,321,60,9,11,343,180,8,156,107,356,131,7,24,212,138,146,57,103,249,301,197,263,5,14,362,731,109,9,237,316,92,339,480,76,313,587,123,161,243,131,448,115,4,319,0,245,265,267,244,6,153,386,707,0,26,10,118,225,39,141,388,11,59,114,9,62,8,470,0,458,51,19
"OTU_15",1062,290,0,1,0,0,99,0,5,6,38,2,1141,0,119,0,7659,6951,0,0,1008,12,0,5,0,2,1465,73,0,13818,15,0,0,3,0,2,25,2987,1,4076,0,22,468,0,0,0,117,8248,20,13,0,2079,0,34,0,1,2,12332,4,0,2792,1,26,0,2,5,0,0,2,2204,0,6394,2,8,5,5,1,1892,2254,92,0,5877,9,27,0,0,1,1748,10,3557,0,0,9282,2,9,0,358,122,0,10536,86,1,28,0,1471,0,1,3,8,9,7,6969,1624,3443,1,2,0,83,0,0,0,6804,82,103,10481,2344,1,63,310,34,364,0,35,63,4490,16,2,1,7,16,6,3,7,6039,692,4605,264,0,4,2,5532,0,4,75,5578,155,0,0,22,1,21,2,0,2,862,0,0,1,0,0,1,4,0,1222,4119,0
"OTU_16",342,267,3,3127,1015,1,363,15,254,10,345,33,6608,4,403,27,1673,290,300,7,1948,1418,10,403,8,59,2418,1271,30,263,19,3,2,18,8,16,46,135,137,140,1,191,185,6,182,1,83,775,738,31,62,1477,4,45,224,26,1,254,3,0,968,5,146,120,60,17,9,0,57,1105,0,295,21,1023,381,13,4,1788,281,299,72,325,811,192,0,2,4,232,8,1040,1,1,132,447,659,1,2438,300,45,92,822,81,320,0,931,10,1,1,1663,63,31,611,1138,640,22,8,0,275,268,71,9,74,491,400,317,1287,0,1489,1502,543,696,19,99,464,108,685,499,107,25,1158,27,22,327,361,2174,349,4,450,0,7,455,32,161,34,218,1028,4,0,13,5,139,3,1,12,721,9,9,53,548,202,6,79,2,2432,394,48
"OTU_17",7,1629,0,6,0,0,421,0,0,6,1211,0,18,4,268,0,3,78,0,0,26,1918,0,220,0,2,31,7291,0,330,0,0,1,1,0,1,5,232,3,155,2,2635,3103,0,2,8,2,83,483,1,0,54,0,1490,0,3,0,134,0,0,3,0,2172,0,0,0,0,5,0,129,1,393,0,0,1197,0,1,5,64,2297,0,129,1254,805,1,0,0,223,0,60,2,8,796,1,748,2,2752,282,1,292,723,0,1392,2,37,4,0,33,468,1569,0,88,0,23,1,1,0,599,5,1,0,1059,617,325,26,111,1,1,54,131,2,5,2656,1207,269,1878,2225,0,2,1727,0,0,1141,277,142,629,1,2,0,4,120,1,2081,2,14,244,0,1,40,0,5427,1,0,1,54,1,1,1,0,0,0,0,0,13,104,0
"OTU_18",191,26,358,145,3501,124,167,882,1528,19,90,4065,241,576,66,26,295,155,2393,305,400,111,561,67,45,3488,188,1804,82,289,2767,18,259,3018,51,1144,3093,605,320,210,3368,30,103,3078,2072,741,13,237,61,582,6721,200,687,77,1170,1317,159,182,23,4,435,20,123,23,1654,165,755,9,1881,231,131,65,926,241,82,1275,1814,179,229,75,322,147,119,51,2,44,6204,949,2548,114,21,443,134,1309,53,25,126,341,194,155,55,2837,38,15,293,2624,345,141,38,15,490,231,381,299,791,894,624,97,5025,317,4014,277,33,40,374,392,24,2521,316,109,946,122,11,31,402,42,26,993,10165,58,841,453,105,1017,57,481,161,892,2,1685,450,155,31,25,67,114,194,37,379,136,1192,71,1192,1429,492,26,927,844,91,998,341,1247,5,352,217,868
"OTU_19",1382,831,65,113,109,122,275,75,58,169,1178,283,6798,163,410,291,21,194,81,350,646,390,205,516,150,61,211,67,206,62,130,194,1,13,80,37,142,16,22,44,123,188,205,49,521,68,18,43,559,43,40,1014,278,84,84,925,129,129,33,4,1142,137,217,258,1024,278,65,205,38,573,6,449,41,244,690,32,71,1910,570,251,105,262,310,275,8,108,105,234,539,108,219,113,44,56,2688,169,4610,965,258,83,1489,2913,344,258,365,32,53,81,880,89,334,256,352,815,33,113,148,625,100,90,290,164,628,240,1510,1088,126,116,2043,1574,33,159,149,348,34,929,3738,178,37,2487,104,72,565,103,2205,61,27,93,5,274,213,20,569,2,250,1709,72,6,61,281,70,25,77,945,524,121,30,62,64,204,200,104,0,230,163,43
"OTU_20",1655,439,12,28,1,0,112,0,3,17,403,7,1593,120,454,13,2050,5607,0,0,2669,951,9,1929,8,17,2147,1563,11,5279,32,21,4,4,3,0,305,500,4,1905,1,678,118,2,0,10,161,3931,157,2,0,3330,13,120,4,8,48,2762,77,0,4150,4,176,15,1,0,1,9,2,2211,4,2630,2,22,667,9,5,874,3491,193,39,2926,849,122,4,125,71,1332,0,3455,4,12,5882,3,383,1,2350,1077,9,4523,507,0,24,9,1742,30,38,32,188,178,19,2226,9851,2359,1,3,0,430,3,3,1,569,93,853,3880,6867,7,2662,1766,228,5306,11,191,347,6904,128,229,14,4,388,6,4,1999,1006,2326,1254,410,144,3,14,6431,1,188,125,2759,181,1,3,38,7,183,1,2,0,4453,5,1,15,277,20,3,1,2,3748,6351,7
"OTU_22",3,79,0,0,0,0,36,2,0,0,34,0,39,3,29,0,697,620,0,7,139,356,1,10,1,0,53,0,0,782,4,0,1,0,0,0,0,5,0,142,1,200,274,0,0,0,18,182,24,1,0,395,3,20,0,0,0,476,0,0,73,0,20,0,1,0,0,2,0,562,0,1800,0,0,2,0,1,164,1545,98,1,117,135,30,0,0,0,282,0,356,0,0,1790,0,3,1,104,1,5,1720,19,0,100,0,80,1,0,0,23,10,9,594,198,244,0,2,0,121,1,0,0,84,3,6,151,192,2,9,66,37,0,0,27,175,1774,11,4,5,0,11,1,1,5,69,245,125,128,0,0,0,748,0,1,23,1250,62,0,0,0,3,0,0,6,0,168,0,0,0,1,0,1,1,0,502,244,0
"OTU_23",0,0,0,0,0,0,19,0,0,0,0,2,15,0,1,0,0,7,0,0,0,2,0,0,0,0,0,4,0,17,0,6,0,0,0,0,0,4,0,2,0,3,0,0,0,0,1,1,0,0,0,27,0,1,0,0,0,2,0,0,827,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,149,0,0,0,10,0,1,0,0,0,0,0,5,2,0,2,0,0,5,3,393,4,5,0,0,1,0,0,0,0,0,6,0,0,11,0,54,0,0,0,5,0,0,0,7,1,0,10,0,0,0,124,0,0,0,0,0,4,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,8,0,1,1,8,2,0,0,0,10,4,0,0,0,0,0,1,0,0,0,0,0,0,4,5,0
"OTU_24",1568,42,78,1080,4,15,1170,10,2,95,1122,35,95,739,346,20,122,233,5,46,238,721,41,8,82,247,331,1047,25,654,59,33,586,1995,72,35,260,1108,18,587,4,540,96,115,18,214,613,350,19,20,0,925,19,153,11,16,2099,792,151,1,951,39,51,175,5,21,2,8,0,758,333,173,7,524,379,2,118,155,1720,19,233,287,494,511,19,29,251,482,1,430,58,102,819,5,1450,26,1052,943,3,623,402,8,556,24,327,217,143,265,644,44,3,581,2067,154,39,66,12,43,60,0,5,226,220,48,248,1509,84,424,301,364,540,64,351,18,2878,1152,2598,2,83,1138,154,50,160,497,941,471,431,43,16,9,523,3,2527,382,122,1374,266,10,971,5,711,3,13,0,778,134,9,110,371,24,21,27,3,1284,1243,7
"OTU_25",0,1,3,2,891,0,172,2301,3204,1,3,375,2,3438,4,0,8,2,2043,4,1,0,18,1,0,2844,2,140,1,1,3,11,34,14,8,1089,1065,18,2028,0,986,0,13,91,3635,2,0,0,4,987,6786,1,250,425,2867,7509,2,0,39,0,0,0,1,6,1906,3,278,44,3768,9,16,1,7138,5,0,990,26,1,34,2,297,6,1,7,2,2,2017,0,997,3,6,7,57,2881,1,8,1,13,668,8,9,1300,7,0,6,54,10,12,0,0,179,3,9,3,1143,2,2082,0,3511,3895,196,0,17,6,12,2,2,0,1,17,9,7,0,1,79,7,0,325,8718,2,8004,2437,1,0,0,3,56,1850,0,295,24,393,1,0,2,0,3,15,7,1,28,4145,74,14911,14,0,1617,178,0,926,12,2464,15,2,5,632
"OTU_26",17,26,1,12,282,3,14,896,1232,0,6,1,0,59,45,0,14,15,1565,4,2,2,0,2,0,269,19,27,0,17,2,0,3,0,10,101,21,4,9074,4,1222,6,21,0,1900,0,1,13,43,170,2986,3,2,31,630,14937,1,8,2,1,1,3,9,3,5936,2,602,29,3836,1,0,2,69,0,9,3140,1,14,2,13,9,8,3,22,1,158,136,248,209,6,0,7,4,2322,14,4,0,4,446,10,7,1926,16,0,27,0,9,1,5,4,0,21,15,5,212,0,69,167,65,1714,259,17,8,64,16,4,4,315,2,98,101,2,4,6,1,7,7,929,646,6,2615,577,43,32,5,43,37,759,0,38,3,191,21,1,12,6,0,0,0,0,1,106,1,11460,2,1,752,220,2,406,3,1010,0,21,12,673
"OTU_27",0,138,0,0,0,0,270,0,0,12,10,0,2186,0,15,0,2,7,1,16,75,749,0,36,12,0,219,1,0,2774,0,0,0,0,0,0,1,5,3,184,0,67,0,0,0,0,1,139,4,0,0,9734,0,14,0,3,0,26,0,0,355,0,25,0,0,2,0,7,0,172,0,608,0,4,123,0,0,614,36,56,3,416,1807,9,1,0,1,86,0,266,11,2,94,0,330,0,322,181,0,27,425,0,24,0,858,0,0,0,587,162,0,201,175,1383,2,0,0,114,6,0,0,7,408,317,6,227,4,0,604,7,0,1,464,42,260,129,108,0,0,126,1,0,10,39,5,42,0,0,1,0,1016,0,62,0,34,90,0,0,0,0,0,0,0,0,538,0,1,0,0,0,11,0,0,400,3,0
"OTU_28",21,35,26,25,1668,3,266,719,2381,12,48,77,24,90,50,88,35,63,1779,9,154,140,31,53,5,3419,36,779,1982,42,19,7,6,212,5,861,436,147,455,32,201,103,13,128,3033,132,43,46,16,1638,774,83,78,1707,2927,962,153,26,14,1,88,5,9,2,709,0,55,12,1572,27,2,40,1530,39,19,440,204,44,229,64,36,71,93,56,14,9,450,116,788,65,7,67,190,1682,59,5,352,36,1402,101,10,1231,182,0,22,233,112,107,36,31,10,30,63,44,1459,40,409,53,1590,169,72,25,18,108,61,854,1,17,28,165,161,13,31,35,184,66,40,261,4405,47,968,2035,49,99,112,68,58,3301,0,397,131,814,18,21,129,452,39,1,270,11,266,1799,18,302,122,1,1287,1265,47,840,20,2778,0,116,117,103
"OTU_29",1260,835,10,16,9,8,372,37,115,9,366,8,302,16,647,42,1090,991,115,21,373,448,45,316,11,367,483,602,149,1325,28,13,0,55,42,119,67,365,37,376,8,291,1064,25,141,55,128,538,477,58,166,388,75,379,67,113,51,997,5,0,488,17,473,3,61,0,18,0,71,785,0,752,40,46,219,23,23,324,566,716,29,1035,295,466,3,1,115,512,33,442,5,141,1087,55,532,31,1257,257,15,914,404,54,476,2,268,53,7,23,424,434,12,900,1640,461,67,15,8,1380,91,48,78,854,298,472,950,1309,2,128,286,932,205,7,423,367,1231,390,347,24,75,631,10,11,629,1050,618,930,65,82,1,208,1267,30,259,96,369,566,4,0,127,3,386,1,5,61,537,20,8,200,4,46,9,60,1,410,974,10
"OTU_30",901,7,0,0,0,3,6,0,0,1,4,0,902,1,5,1,3900,8233,0,0,841,89,0,157,1,1,635,31,0,6645,4,0,1,9,0,1,0,121,3,3840,0,143,153,2,0,119,1,5523,2,0,0,1593,1,0,0,3,2,2780,1,0,1701,0,12,0,0,0,1,0,0,1412,0,2671,0,0,13,0,1,653,1337,5,5,4302,63,5,3,0,13,72,8,4575,0,1,2590,0,28,2,68,453,0,3175,5,1,17,10,1108,151,4,2,48,16,0,4064,4641,1138,0,0,6,2,3,1,1,151,12,3,3646,5998,0,346,830,12,596,0,6,113,2905,12,13,0,1,64,1,0,7,891,123,1504,37,1,0,0,7668,0,14,3,6013,11,0,1,6,0,12,1,1,1,2157,0,0,0,2,0,4,1,0,1565,7186,4
